tract_geoid,state_fips,county_fips,tract,borough,census_name,population,median_household_income,median_age,employed_population,median_gross_rent,acs_year,acs_product
36005000100,36,005,000100,Bronx,Census Tract 1; Bronx County; New York,2950.0,,35.4,0.0,,2024,ACS 5-Year
36005000200,36,005,000200,Bronx,Census Tract 2; Bronx County; New York,5061.0,123729.0,39.2,2433.0,2083.0,2024,ACS 5-Year
36005000400,36,005,000400,Bronx,Census Tract 4; Bronx County; New York,6649.0,105924.0,34.9,3044.0,2081.0,2024,ACS 5-Year
36005001600,36,005,001600,Bronx,Census Tract 16; Bronx County; New York,5611.0,52147.0,45.5,2533.0,1360.0,2024,ACS 5-Year
36005001901,36,005,001901,Bronx,Census Tract 19.01; Bronx County; New York,2260.0,58083.0,35.7,1267.0,2008.0,2024,ACS 5-Year
36005001902,36,005,001902,Bronx,Census Tract 19.02; Bronx County; New York,2079.0,48953.0,39.3,961.0,2041.0,2024,ACS 5-Year
36005001903,36,005,001903,Bronx,Census Tract 19.03; Bronx County; New York,0.0,,,0.0,,2024,ACS 5-Year
36005001904,36,005,001904,Bronx,Census Tract 19.04; Bronx County; New York,0.0,,,0.0,,2024,ACS 5-Year
36005002001,36,005,002001,Bronx,Census Tract 20.01; Bronx County; New York,4199.0,22311.0,34.1,1041.0,542.0,2024,ACS 5-Year
36005002002,36,005,002002,Bronx,Census Tract 20.02; Bronx County; New York,3609.0,18649.0,47.5,1272.0,353.0,2024,ACS 5-Year
36005002300,36,005,002300,Bronx,Census Tract 23; Bronx County; New York,4567.0,16332.0,30.8,993.0,653.0,2024,ACS 5-Year
36005002400,36,005,002400,Bronx,Census Tract 24; Bronx County; New York,105.0,,37.1,43.0,,2024,ACS 5-Year
36005002500,36,005,002500,Bronx,Census Tract 25; Bronx County; New York,5117.0,35582.0,32.1,1865.0,1158.0,2024,ACS 5-Year
36005002701,36,005,002701,Bronx,Census Tract 27.01; Bronx County; New York,3111.0,20266.0,33.5,784.0,591.0,2024,ACS 5-Year
36005002702,36,005,002702,Bronx,Census Tract 27.02; Bronx County; New York,4798.0,30895.0,33.5,1459.0,1228.0,2024,ACS 5-Year
36005002800,36,005,002800,Bronx,Census Tract 28; Bronx County; New York,5462.0,58068.0,37.8,2673.0,1140.0,2024,ACS 5-Year
36005003100,36,005,003100,Bronx,Census Tract 31; Bronx County; New York,2788.0,59297.0,30.0,1305.0,1629.0,2024,ACS 5-Year
36005003300,36,005,003300,Bronx,Census Tract 33; Bronx County; New York,3577.0,31289.0,35.6,1176.0,1328.0,2024,ACS 5-Year
36005003500,36,005,003500,Bronx,Census Tract 35; Bronx County; New York,3481.0,36569.0,33.7,1020.0,1283.0,2024,ACS 5-Year
36005003700,36,005,003700,Bronx,Census Tract 37; Bronx County; New York,418.0,53029.0,30.5,153.0,,2024,ACS 5-Year
36005003800,36,005,003800,Bronx,Census Tract 38; Bronx County; New York,1250.0,54214.0,36.5,407.0,1413.0,2024,ACS 5-Year
36005003900,36,005,003900,Bronx,Census Tract 39; Bronx County; New York,5581.0,25625.0,35.1,1979.0,880.0,2024,ACS 5-Year
36005004001,36,005,004001,Bronx,Census Tract 40.01; Bronx County; New York,1294.0,78935.0,44.7,501.0,1573.0,2024,ACS 5-Year
36005004100,36,005,004100,Bronx,Census Tract 41; Bronx County; New York,6162.0,14592.0,37.3,1516.0,873.0,2024,ACS 5-Year
36005004200,36,005,004200,Bronx,Census Tract 42; Bronx County; New York,7755.0,55404.0,39.5,2860.0,1301.0,2024,ACS 5-Year
36005004300,36,005,004300,Bronx,Census Tract 43; Bronx County; New York,5400.0,23393.0,34.4,1638.0,807.0,2024,ACS 5-Year
36005004400,36,005,004400,Bronx,Census Tract 44; Bronx County; New York,4303.0,24375.0,35.3,1191.0,536.0,2024,ACS 5-Year
36005004600,36,005,004600,Bronx,Census Tract 46; Bronx County; New York,1478.0,30714.0,40.2,460.0,1167.0,2024,ACS 5-Year
36005004800,36,005,004800,Bronx,Census Tract 48; Bronx County; New York,4204.0,35870.0,30.0,1640.0,1376.0,2024,ACS 5-Year
36005005001,36,005,005001,Bronx,Census Tract 50.01; Bronx County; New York,4878.0,33632.0,28.2,1574.0,1502.0,2024,ACS 5-Year
36005005002,36,005,005002,Bronx,Census Tract 50.02; Bronx County; New York,6275.0,34688.0,28.0,2127.0,1671.0,2024,ACS 5-Year
36005005100,36,005,005100,Bronx,Census Tract 51; Bronx County; New York,7261.0,25851.0,30.7,1917.0,669.0,2024,ACS 5-Year
36005005200,36,005,005200,Bronx,Census Tract 52; Bronx County; New York,1837.0,39743.0,33.1,586.0,1018.0,2024,ACS 5-Year
36005005300,36,005,005300,Bronx,Census Tract 53; Bronx County; New York,4065.0,20608.0,31.3,1212.0,1410.0,2024,ACS 5-Year
36005005400,36,005,005400,Bronx,Census Tract 54; Bronx County; New York,5482.0,54884.0,30.9,2245.0,1545.0,2024,ACS 5-Year
36005005600,36,005,005600,Bronx,Census Tract 56; Bronx County; New York,2501.0,41684.0,35.1,1025.0,1359.0,2024,ACS 5-Year
36005005902,36,005,005902,Bronx,Census Tract 59.02; Bronx County; New York,3019.0,51364.0,38.1,1329.0,1352.0,2024,ACS 5-Year
36005006000,36,005,006000,Bronx,Census Tract 60; Bronx County; New York,1280.0,78269.0,34.3,458.0,1461.0,2024,ACS 5-Year
36005006100,36,005,006100,Bronx,Census Tract 61; Bronx County; New York,3369.0,72123.0,48.6,1467.0,1353.0,2024,ACS 5-Year
36005006200,36,005,006200,Bronx,Census Tract 62; Bronx County; New York,6363.0,27453.0,31.2,2052.0,1028.0,2024,ACS 5-Year
36005006301,36,005,006301,Bronx,Census Tract 63.01; Bronx County; New York,7053.0,59924.0,35.7,3470.0,1643.0,2024,ACS 5-Year
36005006302,36,005,006302,Bronx,Census Tract 63.02; Bronx County; New York,0.0,,,0.0,,2024,ACS 5-Year
36005006400,36,005,006400,Bronx,Census Tract 64; Bronx County; New York,4194.0,41429.0,30.7,1614.0,1784.0,2024,ACS 5-Year
36005006500,36,005,006500,Bronx,Census Tract 65; Bronx County; New York,5024.0,22740.0,33.7,1609.0,1317.0,2024,ACS 5-Year
36005006700,36,005,006700,Bronx,Census Tract 67; Bronx County; New York,7664.0,30191.0,32.0,2358.0,1039.0,2024,ACS 5-Year
36005006800,36,005,006800,Bronx,Census Tract 68; Bronx County; New York,2542.0,32550.0,32.7,718.0,2058.0,2024,ACS 5-Year
36005006900,36,005,006900,Bronx,Census Tract 69; Bronx County; New York,6077.0,26608.0,35.2,2037.0,1194.0,2024,ACS 5-Year
36005007000,36,005,007000,Bronx,Census Tract 70; Bronx County; New York,4408.0,40417.0,35.4,1487.0,1799.0,2024,ACS 5-Year
36005007100,36,005,007100,Bronx,Census Tract 71; Bronx County; New York,2805.0,23148.0,39.3,1077.0,1283.0,2024,ACS 5-Year
36005007200,36,005,007200,Bronx,Census Tract 72; Bronx County; New York,4845.0,58244.0,41.7,2130.0,1452.0,2024,ACS 5-Year
36005007300,36,005,007300,Bronx,Census Tract 73; Bronx County; New York,4325.0,29978.0,28.6,1554.0,1097.0,2024,ACS 5-Year
36005007400,36,005,007400,Bronx,Census Tract 74; Bronx County; New York,3280.0,69363.0,33.3,1519.0,1506.0,2024,ACS 5-Year
36005007500,36,005,007500,Bronx,Census Tract 75; Bronx County; New York,6353.0,34259.0,32.3,2162.0,1093.0,2024,ACS 5-Year
36005007600,36,005,007600,Bronx,Census Tract 76; Bronx County; New York,5252.0,53320.0,38.1,2143.0,1646.0,2024,ACS 5-Year
36005007700,36,005,007700,Bronx,Census Tract 77; Bronx County; New York,1966.0,50733.0,33.2,817.0,1380.0,2024,ACS 5-Year
36005007800,36,005,007800,Bronx,Census Tract 78; Bronx County; New York,5633.0,47216.0,35.1,2109.0,1676.0,2024,ACS 5-Year
36005007900,36,005,007900,Bronx,Census Tract 79; Bronx County; New York,6829.0,43081.0,33.3,2398.0,1332.0,2024,ACS 5-Year
36005008300,36,005,008300,Bronx,Census Tract 83; Bronx County; New York,6287.0,48634.0,34.4,2380.0,1194.0,2024,ACS 5-Year
36005008400,36,005,008400,Bronx,Census Tract 84; Bronx County; New York,3108.0,63631.0,35.0,1356.0,1801.0,2024,ACS 5-Year
36005008500,36,005,008500,Bronx,Census Tract 85; Bronx County; New York,5866.0,41535.0,35.2,2163.0,1154.0,2024,ACS 5-Year
36005008600,36,005,008600,Bronx,Census Tract 86; Bronx County; New York,3849.0,22671.0,34.6,1035.0,751.0,2024,ACS 5-Year
36005008700,36,005,008700,Bronx,Census Tract 87; Bronx County; New York,5914.0,40188.0,34.7,2265.0,1214.0,2024,ACS 5-Year
36005008900,36,005,008900,Bronx,Census Tract 89; Bronx County; New York,2949.0,35914.0,48.1,898.0,1211.0,2024,ACS 5-Year
36005009000,36,005,009000,Bronx,Census Tract 90; Bronx County; New York,3861.0,36806.0,37.1,1296.0,780.0,2024,ACS 5-Year
36005009200,36,005,009200,Bronx,Census Tract 92; Bronx County; New York,5888.0,58717.0,37.5,2660.0,1681.0,2024,ACS 5-Year
36005009301,36,005,009301,Bronx,Census Tract 93.01; Bronx County; New York,5754.0,50962.0,31.5,2512.0,1502.0,2024,ACS 5-Year
36005009302,36,005,009302,Bronx,Census Tract 93.02; Bronx County; New York,319.0,,41.7,0.0,,2024,ACS 5-Year
36005009600,36,005,009600,Bronx,Census Tract 96; Bronx County; New York,1978.0,47212.0,43.5,738.0,1797.0,2024,ACS 5-Year
36005009800,36,005,009800,Bronx,Census Tract 98; Bronx County; New York,4080.0,97896.0,53.8,1729.0,2014.0,2024,ACS 5-Year
36005011000,36,005,011000,Bronx,Census Tract 110; Bronx County; New York,0.0,,,0.0,,2024,ACS 5-Year
36005011502,36,005,011502,Bronx,Census Tract 115.02; Bronx County; New York,3935.0,30922.0,37.6,1466.0,1209.0,2024,ACS 5-Year
36005011701,36,005,011701,Bronx,Census Tract 117.01; Bronx County; New York,1262.0,36857.0,27.8,457.0,1348.0,2024,ACS 5-Year
36005011702,36,005,011702,Bronx,Census Tract 117.02; Bronx County; New York,0.0,,,0.0,,2024,ACS 5-Year
36005011800,36,005,011800,Bronx,Census Tract 118; Bronx County; New York,5057.0,93319.0,28.5,2029.0,2289.0,2024,ACS 5-Year
36005011900,36,005,011900,Bronx,Census Tract 119; Bronx County; New York,5879.0,44122.0,27.7,2178.0,1551.0,2024,ACS 5-Year
36005012101,36,005,012101,Bronx,Census Tract 121.01; Bronx County; New York,3293.0,34464.0,36.3,1158.0,1509.0,2024,ACS 5-Year
36005012102,36,005,012102,Bronx,Census Tract 121.02; Bronx County; New York,1429.0,28200.0,42.3,414.0,888.0,2024,ACS 5-Year
36005012300,36,005,012300,Bronx,Census Tract 123; Bronx County; New York,4712.0,36435.0,32.2,1885.0,1408.0,2024,ACS 5-Year
36005012500,36,005,012500,Bronx,Census Tract 125; Bronx County; New York,4001.0,55772.0,29.7,1801.0,1418.0,2024,ACS 5-Year
36005012701,36,005,012701,Bronx,Census Tract 127.01; Bronx County; New York,2129.0,34688.0,33.6,810.0,1232.0,2024,ACS 5-Year
36005012901,36,005,012901,Bronx,Census Tract 129.01; Bronx County; New York,4944.0,39409.0,32.6,1430.0,1117.0,2024,ACS 5-Year
36005013000,36,005,013000,Bronx,Census Tract 130; Bronx County; New York,1388.0,59595.0,46.2,666.0,,2024,ACS 5-Year
36005013100,36,005,013100,Bronx,Census Tract 131; Bronx County; New York,5288.0,19760.0,38.3,1592.0,1273.0,2024,ACS 5-Year
36005013200,36,005,013200,Bronx,Census Tract 132; Bronx County; New York,7083.0,107563.0,40.1,3438.0,2240.0,2024,ACS 5-Year
